Date,Day,LOT 2 General % Capacity,LOT 2 General Occupied,LOT 2 General Spaces,LOT 2 Premium % Capacity,LOT 2 Premium Occupied,LOT 2 Premium Spaces,LOT 2 Value % Capacity,LOT 2 Value Occupied,LOT 2 Value Spaces,LOT 3 % Capacity,LOT 3 Occupied,LOT 3 Spaces,LOT 4 General % Capacity,LOT 4 General Occupied,LOT 4 General Spaces,LOT 4 Premium % Capacity,LOT 4 Premium Occupied,LOT 4 Premium Spaces,LOT 5 % Capacity,LOT 5 Occupied,LOT 5 Spaces,LOT 5 Value % Capacity,LOT 5 Value Occupied,LOT 5 Value Spaces,LOT 6 % Capacity,LOT 6 Occupied,LOT 6 Spaces,Total Facility % Capacity,Total Facility Occupied,Total Facility Spaces
2020-05-01,Friday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-02,Saturday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-03,Sunday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-04,Monday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-05,Tuesday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-06,Wednesday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-07,Thursday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-08,Friday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-09,Saturday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
2020-05-10,Sunday,0.0,0.0,1219,0.0,0.0,324,0.0,0.0,0,0.0,0.0,1192,0.0,0.0,1430,0.0,0.0,352,0.0,0.0,2200,0.0,0.0,0,-1.0,-1.0,-1,0.0,0,6717
