year,month,lot2,lot3,lot4,lot5,lot6,valet,prebook,totalTransaction
2017,July,0,0,0,0,0,0,0,0
2017,August,0,0,0,0,0,0,0,0
2017,September,0,0,0,0,0,0,0,0
2017,October,0,0,0,0,0,0,0,0
2017,November,0,0,0,0,0,0,0,0
2017,December,0,0,0,0,0,0,0,0
2018,January,12807,4948,26314,7312,0,0,0,51381
2018,February,10121,5271,23839,7193,0,0,0,46424
2018,March,13284,6012,28613,7930,0,0,0,55839
2018,April,13815,6628,27073,7986,0,0,0,55502
2018,May,15007,7435,29125,8144,0,0,0,59711
2018,June,14946,7559,29457,7065,0,0,0,59027
2018,July,16143,8858,28855,6834,0,0,0,60690
2018,August,16927,9140,28972,7478,0,0,0,62517
2018,September,14404,9191,24919,7499,0,0,0,56013
2018,October,15862,9905,26836,7759,0,0,0,60362
2018,November,15670,9150,26721,6839,0,0,0,58380
2018,December,14840,7510,28515,6687,0,0,0,57552
2019,January,13380,6066,25032,6789,0,0,92,51359
2019,February,10467,5424,22950,7270,0,0,672,46783
2019,March,13789,6309,26622,8474,0,0,1079,56273
2019,April,14261,6839,25788,8767,0,0,1427,57082
2019,May,16076,7478,28455,9503,0,0,1699,63211
2019,June,17789,6910,28006,8798,0,0,1763,63266
2019,July,18016,5737,26917,8468,0,0,2293,61431
2019,August,17985,6160,27915,9313,0,0,2526,63899
2019,September,15686,5470,25043,9954,0,0,2877,59030
2019,October,16771,6712,27091,10302,0,0,3490,64366
2019,November,16414,6461,26507,9356,0,0,3339,62077
2019,December,18347,5816,29801,8834,0,0,3441,66239
2020,January,16473,5019,25554,8245,0,0,3143,58434
2020,February,13243,4908,22585,8300,0,0,3291,52327
2020,March,9679,3036,13192,4820,0,0,2196,32923
2020,April,1437,251,2517,61,0,0,208,4474
2020,May,2657,3,6008,4,0,0,540,9212
2020,June,4697,13,12619,14,0,0,1098,18441
2020,July,5855,2359,13024,0,0,0,1464,22702
2020,August,6599,3322,13779,0,0,0,1798,25498
2020,September,6360,3639,12612,0,0,0,1870,24481
2020,October,8067,4064,13650,0,0,0,2097,27878
2020,November,8386,3975,12720,0,0,0,2123,27204
2020,December,8341,3480,11650,0,0,0,1621,25092
2021,January,6504,3297,9826,1,0,0,1579,21207
2021,February,5817,3072,9612,0,0,0,1809,20310
2021,March,9224,4650,15393,0,0,0,2949,32216
2021,April,10745,5562,17604,0,0,0,3652,37563
2021,May,14624,7147,21309,191,0,0,3300,46571
2021,June,17481,6358,22922,3917,0,0,4048,54726
2021,July,19474,7255,24211,5184,0,0,693,56817
2021,August,20589,7647,22396,7378,0,0,151,58161
2021,September,17594,11610,21002,6496,0,0,540,57242
2021,October,18522,12189,23043,7150,0,0,1054,61958
2021,November,18507,8821,22634,7366,0,0,1182,58510
2021,December,19354,5404,21737,6081,0,0,1166,53742
2022,January,13690,4413,15747,5332,0,0,898,40080
2022,February,12387,4795,16737,5823,0,0,800,40542
2022,March,16335,5522,20050,6908,0,0,854,49669
2022,April,18083,6080,21982,8086,0,0,1162,55393
2022,May,20892,6873,22838,9021,0,0,1508,61132
2022,June,20961,6344,24617,8415,0,0,1370,61707
2022,July,20185,6496,24693,8664,0,0,1238,61276
2022,August,19869,6851,23650,8815,0,0,1344,60529
2022,September,18855,7088,22512,9544,0,0,1178,59177
2022,October,21313,7266,24837,10974,0,0,1294,65684
2022,November,19711,6407,23153,9463,78,0,1239,60051
2022,December,20445,6034,24889,7772,505,0,1223,60868
2023,January,17269,6001,22087,1185,3333,0,962,50837
2023,February,15308,6641,22085,2,4105,0,845,48986
2023,March,19259,7784,27248,0,4515,0,949,59755
2023,April,21939,8818,25598,0,4664,0,1134,62153
2023,May,24206,9353,26838,0,5174,0,1388,66959
2023,June,21087,6000,24560,0,4739,0,4903,61289
2023,July,21927,5233,24014,0,4902,0,4913,60989
2023,August,21196,5383,24209,0,4806,0,4990,60584
2023,September,20001,5743,22586,0,5354,0,5139,58823
2023,October,20954,6137,24350,0,5635,0,5963,63039
2023,November,19725,4867,23064.5,1204.5,4040.5,0,5502,58403.5
2023,December,18496,3597,21779,2409,2446,0,5041,53768
2024,January,16216,3261,19690,2305,2111,0,4373,47956
2024,February,13993,3293,18504,2418,2017,0,4755,44980
2024,March,17578,3902,22127,2805,2468,0,6042,54922
2024,April,17859,4160,20827,3075,2761,0,7317,55999
2024,May,20154,4524,22650,3246,2961,0,7468,61003
2024,June,22266,4185,22828,2997,2743,0,7491,62510
2024,July,22941,4004,22373,2809,2452,0,8268,62847
2024,August,22212,4146,21493,2865,2619,0,8003,61338
2024,September,20675,4521,20334,3119,2768,19,8455,59891
2024,October,21522,4940,22453,3385,2941,51,8096,63388
2024,November,19270,3961,20210,2743,2448,45,7369,56046
2024,December,18402,3348,21390,2566,2257,35,6962,54960
2025,January,16640,2757,17970,2182,1989,46,5405,46989
2025,February,13941,2882,16512,2262,2001,76,5687,43361
2025,March,16099,3402,20639,2721,2397,99,7270,52627
2025,April,17194,3717,20956,2872,2418,89,8332,55578
2025,May,18502,3903,22177,3442,2797,121,9322,60264
2025,June,20814,3459,21830,3242,2581,105,8746,60777
2025,July,20603,3548,20586,3078,2564,95,8989,59463
