Day,Date,LOT 2 General Spaces,LOT 2 General Vacancies,LOT 2 General Occupied,LOT 2 General % Capacity,LOT 2 Premium Spaces,LOT 2 Premium Vacancies,LOT 2 Premium Occupied,LOT 2 Premium % Capacity,LOT 3 Spaces,LOT 3 Vacancies,LOT 3 Occupied,LOT 3 % Capacity,LOT 4 General Spaces,LOT 4 General Vacancies,LOT 4 General Occupied,LOT 4 General % Capacity,LOT 4 Premium Spaces,LOT 4 Premium Vacancies,LOT 4 Premium Occupied,LOT 4 Premium % Capacity,LOT 5 Spaces,LOT 5 Vacancies,LOT 5 Occupied,LOT 5 % Capacity,LOT 6 Spaces,LOT 6 Vacancies,LOT 6 Occupied,LOT 6 % Capacity,Total CC Revenue,Total Cash Revenue,Total Revenue
Friday,2020-05-01,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Saturday,2020-05-02,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Sunday,2020-05-03,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Monday,2020-05-04,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Tuesday,2020-05-05,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Wednesday,2020-05-06,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Thursday,2020-05-07,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Friday,2020-05-08,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Saturday,2020-05-09,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Sunday,2020-05-10,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Monday,2020-05-11,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Tuesday,2020-05-12,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Wednesday,2020-05-13,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Thursday,2020-05-14,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Friday,2020-05-15,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Saturday,2020-05-16,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Sunday,2020-05-17,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Monday,2020-05-18,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Tuesday,2020-05-19,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Wednesday,2020-05-20,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Thursday,2020-05-21,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Friday,2020-05-22,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Saturday,2020-05-23,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Sunday,2020-05-24,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Monday,2020-05-25,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Tuesday,2020-05-26,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Wednesday,2020-05-27,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Thursday,2020-05-28,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Monday,2020-06-01,1219,1040,179.0,0.1468416735028712,324,302,22.0,0.06790123456790123,1192,1188,4.0,0.003355704697986577,1430,983,447.0,0.31258741258741257,352,247,105.0,0.29829545454545453,2200.0,2177.0,23.0,0.010454545454545454,-1,-1,-1,-1,12754.0,1550.0,14304.0
Tuesday,2020-06-02,1219,1057,162.0,0.13289581624282198,324,301,23.0,0.07098765432098765,1192,1188,4.0,0.003355704697986577,1430,959,471.0,0.3293706293706294,352,241,111.0,0.3153409090909091,2200.0,2181.0,19.0,0.008636363636363636,-1,-1,-1,-1,10487.0,446.0,10933.0
Wednesday,2020-06-03,1219,1055,164.0,0.13453650533223954,324,298,26.0,0.08024691358024691,1192,1188,4.0,0.003355704697986577,1430,1068,362.0,0.25314685314685315,352,232,120.0,0.3409090909090909,2200.0,2181.0,19.0,0.008636363636363636,-1,-1,-1,-1,12977.0,975.0,13952.0
Thursday,2020-06-04,1219,1032,187.0,0.15340442986054142,324,297,27.0,0.08333333333333333,1192,1188,4.0,0.003355704697986577,1430,939,491.0,0.34335664335664334,352,215,137.0,0.38920454545454547,2200.0,2180.0,20.0,0.00909090909090909,-1,-1,-1,-1,19255.0,1241.0,20496.0
Friday,2020-06-05,1219,1024,195.0,0.15996718621821165,324,301,23.0,0.07098765432098765,1192,1188,4.0,0.003355704697986577,1430,924,506.0,0.35384615384615387,352,201,151.0,0.4289772727272727,2200.0,2180.0,20.0,0.00909090909090909,-1,-1,-1,-1,18661.0,1106.0,19767.0
Saturday,2020-06-06,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,10791.0,1593.0,12384.0
Sunday,2020-06-07,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19321.0,2639.0,21960.0
Monday,2020-06-08,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17749.0,2739.0,20488.0
Tuesday,2020-06-09,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,14558.0,2132.0,16690.0
Wednesday,2020-06-10,1219,1052,167.0,0.13699753896636588,324,300,24.0,0.07407407407407407,1192,1188,4.0,0.003355704697986577,1430,844,586.0,0.4097902097902098,352,155,197.0,0.5596590909090909,2200.0,2181.0,19.0,0.008636363636363636,-1,-1,-1,-1,15707.0,1821.0,17528.0
Thursday,2020-06-11,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,18773.0,1412.0,20185.0
Friday,2020-06-12,1219,1011,208.0,0.17063166529942575,324,289,35.0,0.10802469135802469,1192,1188,4.0,0.003355704697986577,1430,699,731.0,0.5111888111888112,352,142,210.0,0.5965909090909091,2200.0,2183.0,17.0,0.007727272727272728,-1,-1,-1,-1,24208.0,1554.0,25762.0
Saturday,2020-06-13,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,16290.0,2019.0,18309.0
Sunday,2020-06-14,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26272.0,2819.0,29091.0
Monday,2020-06-15,1219,1010,209.0,0.17145200984413453,324,292,32.0,0.09876543209876543,1192,1188,4.0,0.003355704697986577,1430,654,776.0,0.5426573426573427,352,146,206.0,0.5852272727272727,2200.0,2185.0,15.0,0.006818181818181818,-1,-1,-1,-1,20203.0,2622.0,22825.0
Tuesday,2020-06-16,1219,1019,200.0,0.16406890894175555,324,295,29.0,0.08950617283950617,1192,1188,4.0,0.003355704697986577,1430,732,698.0,0.4881118881118881,352,127,225.0,0.6392045454545454,2200.0,2184.0,16.0,0.007272727272727273,-1,-1,-1,-1,16508.0,1423.0,17931.0
Wednesday,2020-06-17,1219,1002,217.0,0.17801476620180476,324,296,28.0,0.08641975308641975,1192,1188,4.0,0.003355704697986577,1430,687,743.0,0.5195804195804196,352,115,237.0,0.6732954545454546,2200.0,2184.0,16.0,0.007272727272727273,-1,-1,-1,-1,16566.0,2203.0,18769.0
Thursday,2020-06-18,1219,1004,215.0,0.1763740771123872,324,295,29.0,0.08950617283950617,1192,1188,4.0,0.003355704697986577,1430,625,805.0,0.5629370629370629,352,126,226.0,0.6420454545454546,2200.0,2186.0,14.0,0.006363636363636364,-1,-1,-1,-1,20172.0,1398.0,21570.0
Friday,2020-06-19,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28841.0,1638.0,30479.0
Saturday,2020-06-20,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19603.0,1803.0,21406.0
Sunday,2020-06-21,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28372.0,3277.0,31649.0
Monday,2020-06-22,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26000.0,2013.0,28013.0
Tuesday,2020-06-23,1219,961,258.0,0.21164889253486463,324,300,24.0,0.07407407407407407,1192,1189,3.0,0.0025167785234899327,1430,544,886.0,0.6195804195804195,352,122,230.0,0.6534090909090909,2200.0,2177.0,23.0,0.010454545454545454,-1,-1,-1,-1,16717.0,2311.0,19028.0
Wednesday,2020-06-24,1219,950,269.0,0.2206726825266612,324,292,32.0,0.09876543209876543,1192,1189,3.0,0.0025167785234899327,1430,492,938.0,0.6559440559440559,352,109,243.0,0.6903409090909091,2200.0,2175.0,25.0,0.011363636363636364,-1,-1,-1,-1,21393.0,1776.0,23169.0
Thursday,2020-06-25,1219,955,264.0,0.2165709598031173,324,291,33.0,0.10185185185185185,1192,1189,3.0,0.0025167785234899327,1430,536,894.0,0.6251748251748251,352,96,256.0,0.7272727272727273,2200.0,2178.0,22.0,0.01,-1,-1,-1,-1,21744.0,2350.0,24094.0
Friday,2020-06-26,1219,962,257.0,0.21082854799015588,324,286,38.0,0.11728395061728394,1192,1192,0.0,0.0,1430,692,738.0,0.5160839160839161,352,32,320.0,0.9090909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28596.0,1683.0,30279.0
Saturday,2020-06-27,1219,933,286.0,0.2346185397867104,324,295,29.0,0.08950617283950617,1192,1192,0.0,0.0,1430,662,768.0,0.5370629370629371,352,124,228.0,0.6477272727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,20101.0,3135.0,23236.0
Sunday,2020-06-28,1219,917,302.0,0.24774405250205087,324,303,21.0,0.06481481481481481,1192,1192,0.0,0.0,1430,611,819.0,0.5727272727272728,352,117,235.0,0.6676136363636364,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,32648.0,3770.0,36418.0
Monday,2020-06-29,1219,848,371.0,0.30434782608695654,324,261,63.0,0.19444444444444445,1192,1189,3.0,0.0025167785234899327,1430,563,867.0,0.6062937062937063,352,163,189.0,0.5369318181818182,2200.0,2182.0,18.0,0.008181818181818182,-1,-1,-1,-1,28514.0,3090.0,31604.0
Tuesday,2020-06-30,1219,907,312.0,0.2559474979491386,324,298,26.0,0.08024691358024691,1192,1192,0.0,0.0,1430,714,716.0,0.5006993006993007,352,165,187.0,0.53125,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21916.0,2663.0,24579.0
Wednesday,2020-07-01,1219,976,243.0,0.19934372436423298,324,301,23.0,0.07098765432098765,1192,1192,0.0,0.0,1430,721,709.0,0.4958041958041958,352,164,188.0,0.5340909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,20746.0,2501.0,23247.0
Thursday,2020-07-02,1219,940,279.0,0.22887612797374898,324,303,21.0,0.06481481481481481,1192,1192,0.0,0.0,1430,1252,178.0,0.12447552447552447,352,174,178.0,0.5056818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,23644.0,1555.0,25199.0
Friday,2020-07-03,1219,976,243.0,0.19934372436423298,324,306,18.0,0.05555555555555555,1192,1192,0.0,0.0,1430,746,684.0,0.4783216783216783,352,180,172.0,0.48863636363636365,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,18936.0,2759.0,21695.0
Saturday,2020-07-04,1219,893,326.0,0.2674323215750615,324,302,22.0,0.06790123456790123,1192,1192,0.0,0.0,1430,657,773.0,0.5405594405594406,352,151,201.0,0.5710227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,10450.0,2713.0,13163.0
Sunday,2020-07-05,1219,879,340.0,0.27891714520098443,324,303,21.0,0.06481481481481481,1192,1192,0.0,0.0,1430,641,789.0,0.5517482517482517,352,153,199.0,0.5653409090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,37708.0,2733.0,40441.0
Monday,2020-07-06,1219,927,292.0,0.23954060705496308,324,307,17.0,0.05246913580246913,1192,1192,0.0,0.0,1430,819,611.0,0.42727272727272725,352,199,153.0,0.4346590909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,39704.0,3946.0,43650.0
Tuesday,2020-07-07,1219,1036,183.0,0.1501230516817063,324,301,23.0,0.07098765432098765,1192,1192,0.0,0.0,1430,852,578.0,0.4041958041958042,352,205,147.0,0.41761363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,27241.0,2893.0,30134.0
Wednesday,2020-07-08,1219,1024,195.0,0.15996718621821165,324,298,26.0,0.08024691358024691,1192,951,241.0,0.20218120805369127,1430,847,583.0,0.4076923076923077,352,201,151.0,0.4289772727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22995.0,2795.0,25790.0
Thursday,2020-07-09,1219,947,272.0,0.22313371616078753,324,298,26.0,0.08024691358024691,1192,904,288.0,0.24161073825503357,1430,641,789.0,0.5517482517482517,352,152,200.0,0.5681818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28870.0,2607.0,31477.0
Friday,2020-07-10,1219,993,226.0,0.18539786710418377,324,294,30.0,0.09259259259259259,1192,870,322.0,0.2701342281879195,1430,759,671.0,0.46923076923076923,352,187,165.0,0.46875,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26641.0,1680.0,28321.0
Saturday,2020-07-11,1219,988,231.0,0.18949958982772763,324,289,35.0,0.10802469135802469,1192,961,231.0,0.19379194630872484,1430,786,644.0,0.45034965034965035,352,202,150.0,0.42613636363636365,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,20139.0,3933.0,24072.0
Sunday,2020-07-12,1219,1018,201.0,0.16488925348646433,324,294,30.0,0.09259259259259259,1192,952,240.0,0.20134228187919462,1430,913,517.0,0.36153846153846153,352,233,119.0,0.3380681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,30031.0,4372.0,34403.0
Monday,2020-07-13,1219,1023,196.0,0.16078753076292043,324,289,35.0,0.10802469135802469,1192,973,219.0,0.1837248322147651,1430,934,496.0,0.34685314685314683,352,205,147.0,0.41761363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26785.0,2911.0,29696.0
Tuesday,2020-07-14,1219,1018,201.0,0.16488925348646433,324,297,27.0,0.08333333333333333,1192,970,222.0,0.18624161073825504,1430,865,565.0,0.3951048951048951,352,193,159.0,0.45170454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21547.0,2682.0,24229.0
Wednesday,2020-07-15,1219,1010,209.0,0.17145200984413453,324,299,25.0,0.07716049382716049,1192,971,221.0,0.18540268456375839,1430,870,560.0,0.3916083916083916,352,204,148.0,0.42045454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19350.0,2348.0,21698.0
Thursday,2020-07-16,1219,988,231.0,0.18949958982772763,324,297,27.0,0.08333333333333333,1192,923,269.0,0.2256711409395973,1430,852,578.0,0.4041958041958042,352,190,162.0,0.4602272727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,24492.0,2293.0,26785.0
Friday,2020-07-17,1219,983,236.0,0.19360131255127153,324,296,28.0,0.08641975308641975,1192,890,302.0,0.2533557046979866,1430,810,620.0,0.43356643356643354,352,176,176.0,0.5,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28980.0,1910.0,30890.0
Saturday,2020-07-18,1219,976,243.0,0.19934372436423298,324,296,28.0,0.08641975308641975,1192,870,322.0,0.2701342281879195,1430,826,604.0,0.4223776223776224,352,190,162.0,0.4602272727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19201.0,2593.0,21794.0
Sunday,2020-07-19,1219,1023,196.0,0.16078753076292043,324,297,27.0,0.08333333333333333,1192,929,263.0,0.22063758389261745,1430,937,493.0,0.34475524475524477,352,226,126.0,0.35795454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28836.0,4661.0,33497.0
Monday,2020-07-20,1219,1028,191.0,0.15668580803937654,324,296,28.0,0.08641975308641975,1192,1013,179.0,0.15016778523489932,1430,929,501.0,0.3503496503496504,352,197,155.0,0.4403409090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,23871.0,4994.0,28865.0
Tuesday,2020-07-21,1219,1080,139.0,0.1140278917145201,324,285,39.0,0.12037037037037036,1192,971,221.0,0.18540268456375839,1430,902,528.0,0.36923076923076925,352,205,147.0,0.41761363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,18997.0,2990.0,21987.0
Wednesday,2020-07-22,1219,1022,197.0,0.1616078753076292,324,290,34.0,0.10493827160493827,1192,959,233.0,0.19546979865771813,1430,894,536.0,0.3748251748251748,352,208,144.0,0.4090909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,15064.0,2339.0,17403.0
