Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
1,lot2_general,1219,1219,0.0,0.0
1,lot2_premium,324,324,0.0,0.0
1,lot3,1192,1192,0.0,0.0
1,lot4_general,1430,1430,0.0,0.0
1,lot4_premium,352,352,0.0,0.0
1,lot5,2200,2200,0.0,0.0
1,lot6,-1,-1,-1.0,-1.0
2,lot2_general,1219,1219,0.0,0.0
2,lot2_premium,324,324,0.0,0.0
2,lot3,1192,1192,0.0,0.0
2,lot4_general,1430,1430,0.0,0.0
2,lot4_premium,352,352,0.0,0.0
2,lot5,2200,2200,0.0,0.0
2,lot6,-1,-1,-1.0,-1.0
3,lot2_general,1219,1219,0.0,0.0
3,lot2_premium,324,324,0.0,0.0
3,lot3,1192,1192,0.0,0.0
3,lot4_general,1430,1430,0.0,0.0
3,lot4_premium,352,352,0.0,0.0
3,lot5,2200,2200,0.0,0.0
3,lot6,-1,-1,-1.0,-1.0
4,lot2_general,1219,1219,0.0,0.0
4,lot2_premium,324,324,0.0,0.0
4,lot3,1192,1192,0.0,0.0
4,lot4_general,1430,1430,0.0,0.0
4,lot4_premium,352,352,0.0,0.0
4,lot5,2200,2200,0.0,0.0
4,lot6,-1,-1,-1.0,-1.0
5,lot2_general,1219,1219,0.0,0.0
5,lot2_premium,324,324,0.0,0.0
5,lot3,1192,1192,0.0,0.0
5,lot4_general,1430,1430,0.0,0.0
5,lot4_premium,352,352,0.0,0.0
5,lot5,2200,2200,0.0,0.0
5,lot6,-1,-1,-1.0,-1.0
6,lot2_general,1219,1219,0.0,0.0
6,lot2_premium,324,324,0.0,0.0
6,lot3,1192,1192,0.0,0.0
6,lot4_general,1430,1430,0.0,0.0
6,lot4_premium,352,352,0.0,0.0
6,lot5,2200,2200,0.0,0.0
6,lot6,-1,-1,-1.0,-1.0
7,lot2_general,1219,1219,0.0,0.0
7,lot2_premium,324,324,0.0,0.0
7,lot3,1192,1192,0.0,0.0
7,lot4_general,1430,1430,0.0,0.0
7,lot4_premium,352,352,0.0,0.0
7,lot5,2200,2200,0.0,0.0
7,lot6,-1,-1,-1.0,-1.0
8,lot2_general,1219,1219,0.0,0.0
8,lot2_premium,324,324,0.0,0.0
8,lot3,1192,1192,0.0,0.0
8,lot4_general,1430,1430,0.0,0.0
8,lot4_premium,352,352,0.0,0.0
8,lot5,2200,2200,0.0,0.0
8,lot6,-1,-1,-1.0,-1.0
9,lot2_general,1219,1219,0.0,0.0
9,lot2_premium,324,324,0.0,0.0
9,lot3,1192,1192,0.0,0.0
9,lot4_general,1430,1430,0.0,0.0
9,lot4_premium,352,352,0.0,0.0
9,lot5,2200,2200,0.0,0.0
9,lot6,-1,-1,-1.0,-1.0
10,lot2_general,1219,1219,0.0,0.0
10,lot2_premium,324,324,0.0,0.0
10,lot3,1192,1192,0.0,0.0
10,lot4_general,1430,1430,0.0,0.0
10,lot4_premium,352,352,0.0,0.0
10,lot5,2200,2200,0.0,0.0
10,lot6,-1,-1,-1.0,-1.0
11,lot2_general,1219,1219,0.0,0.0
11,lot2_premium,324,324,0.0,0.0
