Date,DayOfWeek,LOT 2 General % Capacity,LOT 2 General Occupied,LOT 2 General Spaces,LOT 2 Premium % Capacity,LOT 2 Premium Occupied,LOT 2 Premium Spaces,LOT 3 % Capacity,LOT 3 Occupied,LOT 3 Spaces,LOT 4 General % Capacity,LOT 4 General Occupied,LOT 4 General Spaces,LOT 4 Premium % Capacity,LOT 4 Premium Occupied,LOT 4 Premium Spaces,LOT 5 % Capacity,LOT 5 Occupied,LOT 5 Spaces,LOT 6 % Capacity,LOT 6 Occupied,LOT 6 Spaces
01/01/2026,Thursday,0.7399258650750027,898,1214,0.7987246374500008,276,345,0.5622734898799994,670,1192,0.8329998443553285,1191,1430,0.943357142575,330,350,0.4619947734199992,1061,2296,0.5368548987950016,718,1337
01/02/2026,Friday,0.7981878089600011,969,1214,0.7623043475400018,263,345,0.5974580536750005,712,1192,0.7091479051337152,1014,1430,0.9425857141000009,330,350,0.519616724669999,1193,2296,0.5481451010850007,733,1337
01/03/2026,Saturday,0.8197075784799999,995,1214,0.7407101450150019,256,345,0.5974958053449986,712,1192,0.6128963811623263,876,1430,0.9173571430450014,321,350,0.527430313609999,1211,2296,0.5459124904400015,730,1337
01/04/2026,Sunday,0.7759719935150007,942,1214,0.7045507244200014,243,345,0.5819001676700009,694,1192,0.5800469941711147,829,1430,0.9190714283049995,322,350,0.500890679135,1150,2296,0.53130516062,710,1337
01/05/2026,Monday,0.672516474510001,816,1214,0.8184347826050008,282,345,0.506635905975001,604,1192,0.7804999400254192,1116,1430,0.9498571426600008,332,350,0.4188131533699994,962,2296,0.46336200442500114,620,1337
01/06/2026,Tuesday,0.67077841859,814,1214,0.8311449274099999,287,345,0.5071266777500011,604,1192,0.9356656453170178,1338,1430,0.9587999999800008,336,350,0.41017857170000027,942,2296,0.4715931190100011,631,1337
01/07/2026,Wednesday,0.6852965405850017,832,1214,0.8592463769049995,296,345,0.5425587249600011,647,1192,0.9419474238986677,1347,1430,0.9551428570350005,334,350,0.42091898983499987,966,2296,0.4989341810699993,667,1337
01/08/2026,Thursday,0.7395181219950016,898,1214,0.8424057970599983,291,345,0.5713422819199991,681,1192,0.8834579161681404,1263,1430,0.9380999997149996,328,350,0.4763153307849988,1094,2296,0.5604113685600013,749,1337
01/09/2026,Friday,0.7806342669150016,948,1214,0.7728985506749992,267,345,0.6090268457000003,726,1192,0.6960475601651366,995,1430,0.9333571426749988,327,350,0.5337369337749989,1225,2296,0.5766305160950003,771,1337
01/10/2026,Saturday,0.7886820429650011,957,1214,0.7411884056750014,256,345,0.6141652683899987,732,1192,0.5819970974527018,832,1430,0.9081714288049991,318,350,0.5412434668649988,1243,2296,0.5896148092050004,788,1337
01/11/2026,Sunday,0.752442339460001,913,1214,0.6702898550200002,231,345,0.5978187920650008,713,1192,0.5336148324938449,763,1430,0.892428571320002,312,350,0.5094011323700002,1170,2296,0.5891623035049992,788,1337
01/12/2026,Monday,0.6616186161800003,803,1214,0.8314637681650002,287,345,0.5356543624199996,639,1192,0.7838973322456804,1121,1430,0.9485714286899996,332,350,0.42004573186499994,964,2296,0.49916978297500086,667,1337
01/13/2026,Tuesday,0.66183690294,803,1214,0.8505072464400001,293,345,0.5366988256350008,640,1192,0.9399973205684983,1344,1430,0.9582714286750006,335,350,0.4103810977900003,942,2296,0.49502243838999965,662,1337
01/14/2026,Wednesday,0.680782537305001,826,1214,0.8528550725550004,294,345,0.5872525169800012,700,1192,0.941380059334994,1346,1430,0.9558714286350003,335,350,0.41998040087499994,964,2296,0.5025243081499993,672,1337
01/15/2026,Thursday,0.7365527183050008,894,1214,0.8448115941599983,291,345,0.6232885905200003,743,1192,0.8876469009460287,1269,1430,0.9390428571599986,329,350,0.48639808345499946,1117,2296,0.5675654450350007,759,1337
01/16/2026,Friday,0.7836449752700007,951,1214,0.806115941899999,278,345,0.6373951342599996,760,1192,0.7134388117853363,1020,1430,0.9401571429149989,329,350,0.5478919861949989,1258,2296,0.5820755422349998,778,1337
01/17/2026,Saturday,0.7955848435300001,966,1214,0.7860144925250002,271,345,0.636996644259999,759,1192,0.6053337858433778,866,1430,0.923928571589999,323,350,0.5520448605449987,1267,2296,0.58871727744,787,1337
01/18/2026,Sunday,0.7644934102500004,928,1214,0.7327971013549983,253,345,0.6114093961150003,729,1192,0.571410822789787,817,1430,0.9052428569149993,317,350,0.5184864981749994,1190,2296,0.5818249812349996,778,1337
01/19/2026,Monday,0.6729654036500015,817,1214,0.8255652173249999,285,345,0.542848154490001,647,1192,0.790464491813379,1130,1430,0.9449857144149993,331,350,0.4274346691750002,981,2296,0.49889678386000014,667,1337
01/20/2026,Tuesday,0.66942339388,813,1214,0.8524202899250004,294,345,0.5418624163300005,646,1192,0.921501916161532,1318,1430,0.9463428571549994,331,350,0.4204246517550003,965,2296,0.4990089754199997,667,1337
01/21/2026,Wednesday,0.6809102143350012,827,1214,0.8444347827950003,291,345,0.5730033558400014,683,1192,0.9212674961123493,1317,1430,0.9472571428299997,332,350,0.43039634168,988,2296,0.5021578161349998,671,1337
01/22/2026,Thursday,0.7387108732650006,897,1214,0.8112028987299992,280,345,0.6111828858799997,729,1192,0.8721785733497508,1247,1430,0.9520428572199999,333,350,0.49333623679499994,1133,2296,0.5669184742400003,758,1337
01/23/2026,Friday,0.7860543657850007,954,1214,0.7624347827149992,263,345,0.6434605704299998,767,1192,0.697121136149783,997,1430,0.9487571428250005,332,350,0.5607033972449994,1287,2296,0.6130852655549994,820,1337
01/24/2026,Saturday,0.8036943987900004,976,1214,0.7564202897899989,261,345,0.6526342281349993,778,1192,0.5960656994249854,852,1430,0.923757142959999,323,350,0.5814089721950001,1335,2296,0.617744951295,826,1337
01/25/2026,Sunday,0.7687520594499999,933,1214,0.7346086955950003,253,345,0.6455453019700012,769,1192,0.5638516247578053,806,1430,0.896199999889999,314,350,0.5586737804200004,1283,2296,0.6012079281949994,804,1337
01/26/2026,Monday,0.5905601316200012,717,1214,0.6366956520600001,220,345,0.5160738257449993,615,1192,0.7203321207154608,1030,1430,0.8121999999799988,284,350,0.43702526148500015,1003,2296,0.4898803289100009,655,1337
01/27/2026,Tuesday,0.5482331137000014,666,1214,0.6490434782749996,224,345,0.46973993295999883,560,1192,0.8889922684044923,1271,1430,0.829542857139999,290,350,0.42998693395000026,987,2296,0.47877337318999996,640,1337
01/28/2026,Wednesday,0.5722158155050004,695,1214,0.6955507247500005,240,345,0.4820637583249999,575,1192,0.8941427152720746,1279,1430,0.8297142856149989,290,350,0.43415287472,997,2296,0.4733021689350004,633,1337
01/29/2026,Thursday,0.6500453049000001,789,1214,0.7143913045249995,246,345,0.49896812103999927,595,1192,0.8581813167308618,1227,1430,0.8233428569749991,288,350,0.4526655052299992,1039,2296,0.5086088254999995,680,1337
01/30/2026,Friday,0.6999341022200002,850,1214,0.7175797102499992,248,345,0.60380872477,720,1192,0.6920828032208782,990,1430,0.825528571269999,289,350,0.49502613258999995,1137,2296,0.5240575915999992,701,1337
01/31/2026,Saturday,0.7164003296350002,870,1214,0.7269275361999985,251,345,0.6058724832350001,722,1192,0.588469130031528,842,1430,0.8311714285199991,291,350,0.49991289195999966,1148,2296,0.5292782349100005,708,1337
02/01/2026,Sunday,0.7715156508750011,937,1214,0.7016086953800007,242,345,0.5593959730000011,667,1192,0.5872392738764421,840,1430,0.9246714283199993,324,350,0.4675457314599996,1073,2296,0.5306507104050004,709,1337
02/02/2026,Monday,0.6292668862550018,764,1214,0.7933188405599997,274,345,0.49189177845000087,586,1192,0.7388071405990166,1056,1430,0.9406428570450003,329,350,0.4185387631249995,961,2296,0.45733358256500095,611,1337
02/03/2026,Tuesday,0.6315568369400016,767,1214,0.8154782607599994,281,345,0.49094798660000094,585,1192,0.8758477574519231,1252,1430,0.95148571433,333,350,0.41075566223000004,943,2296,0.4615183245900012,617,1337
02/04/2026,Wednesday,0.6776729820350015,823,1214,0.8291449273800001,286,345,0.5061115771500009,603,1192,0.9160185251438273,1310,1430,0.9456428571449993,331,350,0.41852351939499977,961,2296,0.4695026177450004,628,1337
02/05/2026,Thursday,0.7397652389800019,898,1214,0.8174347825200003,282,345,0.5678062080599995,677,1192,0.8767854375369095,1254,1430,0.9443571426150003,331,350,0.4640200348049994,1065,2296,0.5342931935250013,714,1337
02/06/2026,Friday,0.7807578254350008,948,1214,0.7573623187700003,261,345,0.6023867449850002,718,1192,0.6979433050965763,998,1430,0.9370999998649995,328,350,0.5156816201649999,1184,2296,0.555138369465001,742,1337
02/07/2026,Saturday,0.789398682180001,958,1214,0.7363913043650016,254,345,0.6092491610599989,726,1192,0.5968844708904818,854,1430,0.9149857144299998,320,350,0.5271450347949994,1210,2296,0.5653702317350008,756,1337
02/08/2026,Sunday,0.757961285080001,920,1214,0.6737681158600002,232,345,0.6009479866400009,716,1192,0.5518180608938701,789,1430,0.882571428575002,309,350,0.5022430312250004,1153,2296,0.5734667163999998,767,1337
02/09/2026,Monday,0.6648558484950005,807,1214,0.8275072464300003,285,345,0.5341107383250003,637,1192,0.782246199549824,1119,1430,0.95058571426,333,350,0.42035060993000006,965,2296,0.4996484666350006,668,1337
02/10/2026,Tuesday,0.6642462933750001,806,1214,0.8512608695949999,294,345,0.5331711410100007,636,1192,0.9381797156518328,1342,1430,0.9576428572100002,335,350,0.4118837110300003,946,2296,0.49683994019500005,664,1337
02/11/2026,Wednesday,0.6801194400700011,826,1214,0.8581594203549998,296,345,0.5611199666000009,669,1192,0.9428375406689753,1348,1430,0.9530142857299999,334,350,0.41962979116,963,2296,0.5020830217249995,671,1337
02/12/2026,Thursday,0.736540362475001,894,1214,0.8445217390949984,291,345,0.5916401006549991,705,1192,0.8903953914126163,1273,1430,0.9314142856299995,326,350,0.48391986043499946,1111,2296,0.5664547493750007,757,1337
02/13/2026,Friday,0.7788962108850009,946,1214,0.7874057969999996,272,345,0.6211954698349997,740,1192,0.7073846585526219,1012,1430,0.9343857142549992,327,350,0.5410997386699988,1242,2296,0.5828010471099999,779,1337
02/14/2026,Saturday,0.7895263592350007,958,1214,0.7563478259850013,261,345,0.6264345637199988,747,1192,0.5800300073184743,829,1430,0.9173000001849991,321,350,0.5442595818849991,1250,2296,0.5896858638,788,1337
02/15/2026,Sunday,0.7606548600300005,923,1214,0.6903188405549997,238,345,0.6084018457550006,725,1192,0.5603455158032414,801,1430,0.8983999997899997,314,350,0.5191768292600002,1192,2296,0.5810209422999997,777,1337
02/16/2026,Monday,0.669629324600001,813,1214,0.8266811594050002,285,345,0.549517617520001,655,1192,0.7913206346986498,1132,1430,0.9502285714999998,333,350,0.4210169862199999,967,2296,0.49806282722500006,666,1337
02/17/2026,Tuesday,0.6698723230300001,813,1214,0.8502318840749997,293,345,0.5415352350900011,646,1192,0.933613620219998,1335,1430,0.9575857144150004,335,350,0.4201916378300003,965,2296,0.49885190733999957,667,1337
02/18/2026,Wednesday,0.6816227349250014,827,1214,0.852652173985,294,345,0.5726887585550012,683,1192,0.9234146481156511,1320,1430,0.9501857143199998,333,350,0.42714503504500007,981,2296,0.5029655947199996,672,1337
02/19/2026,Thursday,0.7382331137550006,896,1214,0.8446956521999993,291,345,0.61711409394,736,1192,0.8800333445638994,1258,1430,0.9427857142749991,330,350,0.4959233448549996,1139,2296,0.5711219147750007,764,1337
02/20/2026,Friday,0.7830271828750006,951,1214,0.8080579709399991,279,345,0.6348657717999998,757,1192,0.7019046646324112,1004,1430,0.9439142857199998,330,350,0.5627330139899989,1292,2296,0.5836050860349999,780,1337
02/21/2026,Saturday,0.7952347611950001,965,1214,0.7807681158399994,269,345,0.6424999999549992,766,1192,0.5992694404388367,857,1430,0.9231285715349987,323,350,0.5691572300349995,1307,2296,0.59102842177,790,1337
02/22/2026,Sunday,0.7713097200200003,936,1214,0.7335942028849999,253,345,0.6271350671450008,748,1192,0.5675174111406239,812,1430,0.8985142855399991,314,350,0.5385540068900003,1237,2296,0.5856245324649996,783,1337
02/23/2026,Monday,0.6814579901800006,827,1214,0.7735507246399999,267,345,0.5705117452450008,680,1192,0.7898427689821481,1129,1430,0.9470857143949997,331,350,0.43307709077000006,994,2296,0.5003328347100002,669,1337
02/24/2026,Tuesday,0.6536285008800005,794,1214,0.7917826088000003,273,345,0.5888338929250001,702,1192,0.9107661561936061,1302,1430,0.95251428582,333,350,0.4320731709050004,992,2296,0.49850785341500037,667,1337
02/25/2026,Wednesday,0.6570716639450012,798,1214,0.7789130436200001,269,345,0.593284396125001,707,1192,0.9103890456611162,1302,1430,0.9474428570749994,332,350,0.43562935558,1000,2296,0.4974233358050003,665,1337
02/26/2026,Thursday,0.699785831990001,850,1214,0.7232318841649996,250,345,0.5863842282249998,699,1192,0.8690529723506744,1243,1430,0.8274999999449995,290,350,0.49175522636999985,1129,2296,0.5739304411300008,767,1337
