UtilizationRate,lot2General,lot2Premium,lot3,lot4General,lot4Premium,lot5,lot6
0,30,35,25,30,35,20,20
0.01,30,35,25,30,35,20,20
0.02,30,35,25,30,35,20,20
0.03,30,35,25,30,35,20,20
0.04,30,35,25,30,35,20,20
0.05,30,35,25,30,35,20,20
0.06,30,35,25,30,35,20,20
0.07,30,35,25,30,35,20,20
0.08,30,35,25,30,35,20,20
0.09,30,35,25,30,35,20,20
0.1,30,35,25,30,35,20,20
0.11,30,35,25,30,35,20,20
0.12,30,35,25,30,35,20,20
0.13,30,35,25,30,35,20,20
0.14,30,35,25,30,35,20,20
0.15,30,35,25,30,35,20,20
0.16,30,35,25,30,35,20,20
0.17,30,35,25,30,35,20,20
0.18,30,35,25,30,35,20,20
0.19,30,35,25,30,35,20,20
0.2,30,35,25,30,35,20,20
0.21,30,35,25,30,35,20,20
0.22,30,35,25,30,35,20,20
0.23,30,35,25,30,35,20,20
0.24,30,35,25,30,35,20,20
0.25,30,35,25,30,35,20,20
0.26,30,35,25,30,35,20,20
0.27,30,35,25,30,35,20,20
0.28,30,35,25,30,35,20,20
0.29,30,35,25,30,35,20,20
0.3,30,35,25,30,35,20,20
0.31,30,35,25,30,35,20,20
0.32,30,35,25,30,35,20,20
0.33,30,35,25,30,35,20,20
0.34,30,35,25,30,35,20,20
0.35,30,35,25,30,35,20,20
0.36,30,35,25,30,35,20,20
0.37,30,35,25,30,35,20,20
0.38,30,35,25,30,35,20,20
0.39,30,35,25,30,35,20,20
0.4,30,35,25,30,35,20,20
0.41,30,35,25,30,35,20,20
0.42,30,35,25,30,35,20,20
0.43,30,35,25,30,35,20,20
0.44,30,35,25,30,35,20,20
0.45,30,35,25,30,35,20,20
0.46,30,35,25,30,35,20,20
0.47,30,35,25,30,35,20,20
0.48,30,35,25,30,35,20,20
0.49,30,35,25,30,35,20,20
0.5,30,35,25,30,35,20,20
0.51,30,35,25,30,35,20,20
0.52,30,35,25,30,35,20,20
0.53,30,35,25,30,35,20,20
0.54,30,35,25,30,35,20,20
0.55,30,35,25,30,35,20,20
0.56,30,35,25,30,35,20,20
0.57,30,35,25,30,35,20,20
0.58,30,35,25,30,35,20,20
0.59,30,35,25,30,35,20,20
0.6,30,35,25,30,35,20,20
0.61,30,35,25,30,35,20,20
0.62,30,35,25,30,35,20,20
0.63,30,35,25,30,35,20,20
0.64,30,35,25,30,35,20,20
0.65,30,35,25,30,35,20,20
0.66,30,35,25,30,35,20,20
0.67,30,35,25,30,35,20,20
0.68,30,35,25,30,35,20,20
0.69,30,35,25,30,35,20,20
0.7,30,35,25,30,35,20,20
0.71,30,35,25,30,35,20,20
0.72,30,35,25,30,35,20,20
0.73,30,35,25,30,35,20,20
0.74,30,35,25,30,35,20,20
0.75,30,35,25,30,35,20,20
0.76,30,35,25,30,35,20,20
0.77,30,35,25,30,35,20,20
0.78,30,35,25,30,35,20,20
0.79,30,35,25,30,35,20,20
0.8,30,35,25,30,35,20,20
0.81,30,35,25,30,35,20,20
0.82,30,35,25,30,35,20,20
0.83,30,35,25,30,35,20,20
0.84,30,35,25,30,35,20,20
0.85,30,35,25,30,35,20,20
0.86,30,35,25,30,35,20,20
0.87,30,35,25,30,35,20,20
0.88,30,35,25,30,35,20,20
0.89,30,35,25,30,35,20,20
0.9,30,35,25,30,35,20,20
0.91,30,35,25,30,35,20,20
0.92,30,35,25,30,35,20,20
0.93,30,35,25,30,35,20,20
0.94,30,35,25,30,35,20,20
0.95,30,35,25,30,35,20,20
0.96,30,35,25,30,35,20,20
0.97,30,35,25,30,35,20,20
0.98,30,35,25,30,35,20,20
0.99,30,35,25,30,35,20,20
1,30,35,25,30,35,20,20
