UtilizationRate,lot2General,lot2Premium,lot3,lot4General,lot4Premium,lot5,lot6
0,30,35,25,30,35,20,20
0.01,30,35,25,30,35,20,20
0.02,30,35,25,30,35,20,20
0.03,30,35,25,30,35,20,20
0.04,30,35,25,30,35,20,20
0.05,30,35,25,30,35,20,20
0.06,30,35,25,30,35,20,20
0.07,30,35,25,30,35,20,20
0.08,30,35,25,30,35,20,20
0.09,30,35,25,30,35,20,20
0.1,30,35,25,30,35,20,20
0.11,30,35,25,30,35,20,20
0.12,30,35,25,30,35,20,20
0.13,30,35,25,30,35,20,20
0.14,30,35,25,30,35,20,20
0.15,30,35,25,30,35,20,20
0.16,30,35,25,30,35,20,20
0.17,30,35,25,30,35,20,20
0.18,30,35,25,30,35,20,20
0.19,30,35,25,30,35,20,20
0.2,30,35,25,30,35,20,20
0.21,30,35,25,30,35,20,20
0.22,30,35,25,30,35,20,20
0.23,30,35,25,30,35,20,20
0.24,30,35,25,30,35,20,20
0.25,30,35,25,30,35,20,20
0.26,30,35,25,30,35,20,20
0.27,30,35,25,30,35,20,20
0.28,30,35,25,30,35,20,20
0.29,30,35,25,30,35,20,20
0.3,30,35,25,30,35,20,20
0.31,30,35,25,30,35,20,20
0.32,30,35,25,30,35,20,20
0.33,30,35,25,30,35,20,20
0.34,30,35,25,30,35,20,20
0.35,30,35,25,30,35,20,20
0.36,30,35,25,30,35,20,20
0.37,30,35,25,30,35,20,20
0.38,30,35,25,30,35,20,20
0.39,30,35,25,30,35,20,20
0.4,30,35,25,30,35,20,20
0.41,30,35,25,30,35,20,20
0.42,30,35,25,30,35,20,20
0.43,30,35,25,30,35,20,20
0.44,30,35,25,30,35,20,20
0.45,30,35,25,30,35,20,20
0.46,30,35,25,30,35,20,20
0.47,30,35,25,30,35,20,20
0.48,30,35,25,30,35,20,20
0.49,30,35,25,30,35,20,20
0.5,30,35,25,30,35,20,20
0.51,30,35,25,30,35,20,20
0.52,30,35,25,30,35,20,20
0.53,30,35,25,30,35,20,20
0.54,30,35,25,30,35,20,20
0.55,30,35,25,30,35,20,20
0.56,30,35,25,30,35,20,20
0.57,30,35,25,30,35,20,20
0.58,30,35,25,30,35,20,20
0.59,30,35,25,30,35,20,20
0.6,30,35,25,30,35,20,20
0.61,30,35,25,30,35,20,20
0.62,30,35,25,30,35,20,20
0.63,30,35,25,30,35,20,20
0.64,30,35,25,30,35,20,20
0.65,30,35,25,30,35,20,20
0.66,30,35,25,30,35,20,20
0.67,30,35,25,30,35,20,20
0.68,30,35,25,30,35,20,20
0.69,30,35,25,30,35,20,20
0.7,30,35,25,30,35,20,20
0.71,30,35,25,30,35,20,20
0.72,30,35,25,30,35,20,20
0.73,30,35,25,30,35,20,20
0.74,30,35,25,30,35,20,20
0.75,30,35,25,30,35,20,20
0.76,30,35,25,30,35,20,20
0.77,30,35,25,30,35,20,20
0.78,30,35,25,30,35,20,20
0.79,30,35,25,30,35,20,20
0.8,30,35,25,30,35,20,20
0.81,30,35,25,30,35,20,20
0.82,30,35,25,30,35,20,20
0.83,30,35,25,30,35,20,20
0.84,30,35,25,30,35,20,20
0.85,30,35,25,30,35,20,20
0.86,31.71313982,37.1557911,26.39051847,31.90824292,36.87433311,21.14638507,21.07082722
0.87,33.42627963,39.31158221,27.78103693,33.81648584,38.74866622,22.29277014,22.14165445
0.88,35.13941945,41.46737331,29.1715554,35.72472876,40.62299934,23.4391552,23.21248167
0.89,36.85255926,43.62316442,30.56207387,37.63297168,42.49733245,24.58554027,24.2833089
0.9,38.56569908,45.77895552,31.95259233,39.5412146,44.37166556,25.73192534,25.35413612
0.91,40.27883889,47.93474662,33.3431108,41.44945752,46.24599867,26.87831041,26.42496335
0.92,41.99197871,50.09053773,34.73362927,43.35770044,48.12033178,28.02469547,27.49579057
0.93,43.70511852,52.24632883,36.12414773,45.26594336,49.9946649,29.17108054,28.5666178
0.94,45.41825834,54.40211994,37.5146662,47.17418628,51.86899801,30.31746561,29.63744502
0.95,47.13139816,56.55791104,38.90518467,49.0824292,53.74333112,31.46385068,30.70827224
0.96,48.84453797,58.71370214,40.29570313,50.99067212,55.61766423,32.61023575,31.77909947
0.97,50.55767779,60.86949325,41.6862216,52.89891504,57.49199734,33.75662081,32.84992669
0.98,52.2708176,63.02528435,43.07674007,54.80715796,59.36633046,34.90300588,33.92075392
0.99,53.98395742,65.18107545,44.46725853,56.71540088,61.24066357,36.04939095,34.99158114
1,55.69709723,67.33686656,45.857777,58.6236438,63.11499668,37.19577602,36.06240837
