UtilizationRate,lot2General,lot2Premium,lot3,lot4General,lot4Premium,lot5,lot6
0,25,35,25,25,35,20,20
0.01,25,35,25,25,35,20,20
0.02,25,35,25,25,35,20,20
0.03,25,35,25,25,35,20,20
0.04,25,35,25,25,35,20,20
0.05,25,35,25,25,35,20,20
0.06,25,35,25,25,35,20,20
0.07,25,35,25,25,35,20,20
0.08,25,35,25,25,35,20,20
0.09,25,35,25,25,35,20,20
0.1,25,35,25,25,35,20,20
0.11,25,35,25,25,35,20,20
0.12,25,35,25,25,35,20,20
0.13,25,35,25,25,35,20,20
0.14,25,35,25,25,35,20,20
0.15,25,35,25,25,35,20,20
0.16,25,35,25,25,35,20,20
0.17,25,35,25,25,35,20,20
0.18,25,35,25,25,35,20,20
0.19,25,35,25,25,35,20,20
0.2,25,35,25,25,35,20,20
0.21,25,35,25,25,35,20,20
0.22,25,35,25,25,35,20,20
0.23,25,35,25,25,35,20,20
0.24,25,35,25,25,35,20,20
0.25,25,35,25,25,35,20,20
0.26,25,35,25,25,35,20,20
0.27,25,35,25,25,35,20,20
0.28,25,35,25,25,35,20,20
0.29,25,35,25,25,35,20,20
0.3,25,35,25,25,35,20,20
0.31,25,35,25,25,35,20,20
0.32,25,35,25,25,35,20,20
0.33,25,35,25,25,35,20,20
0.34,25,35,25,25,35,20,20
0.35,25,35,25,25,35,20,20
0.36,25,35,25,25,35,20,20
0.37,25,35,25,25,35,20,20
0.38,25,35,25,25,35,20,20
0.39,25,35,25,25,35,20,20
0.4,25,36,25,25,36,20,20
0.41,25,36,25,25,36,20,20
0.42,25,37,25,25,37,20,20
0.43,25,38,25,25,37,20,20
0.44,25,38,25,25,38,20,20
0.45,25,39,25,25,39,20,20
0.46,25,40,25,25,39,20,20
0.47,25,41,25,25,40,20,20
0.48,25,41,25,25,40,20,20
0.49,25,42,25,25,41,20,20
0.5,26,43,25,26,42,20,20
0.51,27,43,25,27,42,20,20
0.52,28,44,25,28,43,20,20
0.53,28,45,25,29,44,20,20
0.54,29,45,25,30,44,20,20
0.55,30,46,25,31,45,20,20
0.56,31,47,25,32,45,20,20
0.57,32,48,25,33,46,20,20
0.58,33,48,25,34,47,20,20
0.59,34,49,25,34,47,20,20
0.6,34,50,25,35,48,20,20
0.61,35,50,25,36,48,20,20
0.62,36,51,25,37,49,20,20
0.63,37,52,25,38,50,20,20
0.64,38,52,25,39,50,20,20
0.65,39,53,26,40,51,20,20
0.66,40,54,27,41,51,20,20
0.67,41,54,28,42,52,20,20
0.68,41,55,29,43,53,20,20
0.69,42,56,30,44,53,20,20
0.7,43,57,31,45,54,20,20
0.71,44,57,32,46,54,20,20
0.72,45,58,33,47,55,20,20
0.73,46,59,34,48,56,20,20
0.74,47,59,35,49,56,20,20
0.75,47,60,36,50,57,22,21
0.76,48,61,37,51,58,23,23
0.77,49,61,38,51,58,25,24
0.78,50,62,39,52,59,26,26
0.79,51,63,40,53,59,28,27
0.8,52,64,41,54,60,29,29
0.81,53,64,42,55,61,31,30
0.82,53,65,43,56,61,32,32
0.83,54,66,44,57,62,34,33
0.84,55,66,45,58,62,35,35
0.85,56,67,46,59,63,37,36
0.86,56,67,46,59,63,37,36
0.87,56,67,46,59,63,37,36
0.88,56,67,46,59,63,37,36
0.89,56,67,46,59,63,37,36
0.9,56,67,46,59,63,37,36
0.91,56,67,46,59,63,37,36
0.92,56,67,46,59,63,37,36
0.93,56,67,46,59,63,37,36
0.94,56,67,46,59,63,37,36
0.95,56,67,46,59,63,37,36
0.96,56,67,46,59,63,37,36
0.97,56,67,46,59,63,37,36
0.98,56,67,46,59,63,37,36
0.99,56,67,46,59,63,37,36
1,56,67,46,59,63,37,36
