UtilizationRate,lot2General,lot2Premium,lot3,lot4General,lot4Premium,lot5,lot6
0,25,30,20,25,30,15,15
0.01,25,30,20,25,30,15,15
0.02,25,30,20,25,30,15,15
0.03,25,30,20,25,30,15,15
0.04,25,30,20,25,30,15,15
0.05,25,30,20,25,30,15,15
0.06,25,30,20,25,30,15,15
0.07,25,30,20,25,30,15,15
0.08,25,30,20,25,30,15,15
0.09,25,30,20,25,30,15,15
0.1,25,30,20,25,30,15,15
0.11,25,30,20,25,30,15,15
0.12,25,30,20,25,30,15,15
0.13,25,30,20,25,30,15,15
0.14,25,30,20,25,30,15,15
0.15,25,30,20,25,30,15,15
0.16,25,30,20,25,30,15,15
0.17,25,30,20,25,30,15,15
0.18,25,30,20,25,30,15,15
0.19,25,30,20,25,30,15,15
0.2,25,30,20,25,30,15,15
0.21,25,30,20,25,30,15,15
0.22,25,30,20,25,30,15,15
0.23,25,30,20,25,30,15,15
0.24,25,30,20,25,30,15,15
0.25,25,30,20,25,30,15,15
0.26,25,30,20,25,30,15,15
0.27,25,30,20,25,30,15,15
0.28,25,30,20,25,30,15,15
0.29,25,30,20,25,30,15,15
0.3,25,30,20,25,30,15,15
0.31,25,30,20,25,30,15,15
0.32,25,30,20,25,30,15,15
0.33,25,30,20,25,30,15,15
0.34,25,30,20,25,30,15,15
0.35,25,30,20,25,30,15,15
0.36,25,30,20,25,30,15,15
0.37,25,30,20,25,30,15,15
0.38,25,30,20,25,30,15,15
0.39,25,30,20,25,30,15,15
0.4,25,31,20,25,31,15,15
0.41,25,32,20,25,31,15,15
0.42,25,32,20,25,32,15,15
0.43,25,33,20,25,33,15,15
0.44,25,34,20,25,34,15,15
0.45,25,35,20,25,34,15,15
0.46,25,36,20,25,35,15,15
0.47,25,36,20,25,36,15,15
0.48,25,37,20,25,36,15,15
0.49,25,38,20,25,37,15,15
0.5,26,39,20,26,38,15,15
0.51,27,40,20,27,39,15,15
0.52,28,40,20,28,39,15,15
0.53,28,41,20,29,40,15,15
0.54,29,42,20,30,41,15,15
0.55,30,43,20,31,41,15,15
0.56,31,44,20,32,42,15,15
0.57,32,44,20,33,43,15,15
0.58,33,45,20,34,44,15,15
0.59,34,46,20,34,44,15,15
0.6,34,47,20,35,45,15,15
0.61,35,48,20,36,46,15,15
0.62,36,49,20,37,47,15,15
0.63,37,49,20,38,47,15,15
0.64,38,50,20,39,48,15,15
0.65,39,51,21,40,49,15,15
0.66,40,52,22,41,49,15,15
0.67,41,53,24,42,50,15,15
0.68,41,53,25,43,51,15,15
0.69,42,54,26,44,52,15,15
0.7,43,55,27,45,52,15,15
0.71,44,56,29,46,53,15,15
0.72,45,57,30,47,54,15,15
0.73,46,57,31,48,54,15,15
0.74,47,58,32,49,55,15,15
0.75,47,59,34,50,56,17,17
0.76,48,60,35,51,57,19,19
0.77,49,61,36,51,57,21,21
0.78,50,61,37,52,58,23,23
0.79,51,62,39,53,59,25,25
0.8,52,63,40,54,59,27,26
0.81,53,64,41,55,60,29,28
0.82,53,65,42,56,61,31,30
0.83,54,65,44,57,62,33,32
0.84,55,66,45,58,62,35,34
0.85,56,67,46,59,63,37,36
0.86,56,67,46,59,63,37,36
0.87,56,67,46,59,63,37,36
0.88,56,67,46,59,63,37,36
0.89,56,67,46,59,63,37,36
0.9,56,67,46,59,63,37,36
0.91,56,67,46,59,63,37,36
0.92,56,67,46,59,63,37,36
0.93,56,67,46,59,63,37,36
0.94,56,67,46,59,63,37,36
0.95,56,67,46,59,63,37,36
0.96,56,67,46,59,63,37,36
0.97,56,67,46,59,63,37,36
0.98,56,67,46,59,63,37,36
0.99,56,67,46,59,63,37,36
1,56,67,46,59,63,37,36
