Date,DayOfWeek,LOT 2 General % Capacity,LOT 2 General Occupied,LOT 2 General Spaces,LOT 2 Premium % Capacity,LOT 2 Premium Occupied,LOT 2 Premium Spaces,LOT 3 % Capacity,LOT 3 Occupied,LOT 3 Spaces,LOT 4 General % Capacity,LOT 4 General Occupied,LOT 4 General Spaces,LOT 4 Premium % Capacity,LOT 4 Premium Occupied,LOT 4 Premium Spaces,LOT 5 % Capacity,LOT 5 Occupied,LOT 5 Spaces,LOT 6 % Capacity,LOT 6 Occupied,LOT 6 Spaces
5/1/2020,Friday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/2/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/3/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/4/2020,Monday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/5/2020,Tuesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/6/2020,Wednesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/7/2020,Thursday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/8/2020,Friday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/9/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/10/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/11/2020,Monday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/12/2020,Tuesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/13/2020,Wednesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/14/2020,Thursday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/15/2020,Friday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/16/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/17/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/18/2020,Monday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/19/2020,Tuesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/20/2020,Wednesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/21/2020,Thursday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/22/2020,Friday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/23/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/24/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/25/2020,Monday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/26/2020,Tuesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/27/2020,Wednesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
5/28/2020,Thursday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/1/2020,Monday,0.146841674,179,1219,0.067901235,22,324,0.003355705,4,1192,0.312587413,447,1430,0.298295455,105,352,0.010454545,23,2200,-1,-1,-1
6/2/2020,Tuesday,0.132895816,162,1219,0.070987654,23,324,0.003355705,4,1192,0.329370629,471,1430,0.315340909,111,352,0.008636364,19,2200,-1,-1,-1
6/3/2020,Wednesday,0.134536505,164,1219,0.080246914,26,324,0.003355705,4,1192,0.253146853,362,1430,0.340909091,120,352,0.008636364,19,2200,-1,-1,-1
6/4/2020,Thursday,0.15340443,187,1219,0.083333333,27,324,0.003355705,4,1192,0.343356643,491,1430,0.389204545,137,352,0.009090909,20,2200,-1,-1,-1
6/5/2020,Friday,0.159967186,195,1219,0.070987654,23,324,0.003355705,4,1192,0.353846154,506,1430,0.428977273,151,352,0.009090909,20,2200,-1,-1,-1
6/6/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/7/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/8/2020,Monday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/9/2020,Tuesday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/10/2020,Wednesday,0.136997539,167,1219,0.074074074,24,324,0.003355705,4,1192,0.40979021,586,1430,0.559659091,197,352,0.008636364,19,2200,-1,-1,-1
6/11/2020,Thursday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/12/2020,Friday,0.170631665,208,1219,0.108024691,35,324,0.003355705,4,1192,0.511188811,731,1430,0.596590909,210,352,0.007727273,17,2200,-1,-1,-1
6/13/2020,Saturday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/14/2020,Sunday,0,0,1219,0,0,324,0,0,1192,0,0,1430,0,0,352,0,0,2200,-1,-1,-1
6/15/2020,Monday,0.17145201,209,1219,0.098765432,32,324,0.003355705,4,1192,0.542657343,776,1430,0.585227273,206,352,0.006818182,15,2200,-1,-1,-1
6/16/2020,Tuesday,0.164068909,200,1219,0.089506173,29,324,0.003355705,4,1192,0.488111888,698,1430,0.639204545,225,352,0.007272727,16,2200,-1,-1,-1
6/17/2020,Wednesday,0.178014766,217,1219,0.086419753,28,324,0.003355705,4,1192,0.51958042,743,1430,0.673295455,237,352,0.007272727,16,2200,-1,-1,-1
6/18/2020,Thursday,0.176374077,215,1219,0.089506173,29,324,0.003355705,4,1192,0.562937063,805,1430,0.642045455,226,352,0.006363636,14,2200,-1,-1,-1
