Date,Day,Lot,% Capacity,Occupied,Spaces
2020-05-01,Friday,LOT 2 General,0.0,0.0,1219
2020-05-01,Friday,LOT 2 Premium,0.0,0.0,324
2020-05-01,Friday,LOT 2 Value,0.0,0.0,0
2020-05-01,Friday,LOT 3,0.0,0.0,1192
2020-05-01,Friday,LOT 4 General,0.0,0.0,1430
2020-05-01,Friday,LOT 4 Premium,0.0,0.0,352
2020-05-01,Friday,LOT 5,0.0,0.0,2200
2020-05-01,Friday,LOT 5 Value,0.0,0.0,0
2020-05-01,Friday,LOT 6,-100.0,-1.0,-1
2020-05-02,Saturday,LOT 2 General,0.0,0.0,1219
2020-05-02,Saturday,LOT 2 Premium,0.0,0.0,324
2020-05-02,Saturday,LOT 2 Value,0.0,0.0,0
2020-05-02,Saturday,LOT 3,0.0,0.0,1192
2020-05-02,Saturday,LOT 4 General,0.0,0.0,1430
2020-05-02,Saturday,LOT 4 Premium,0.0,0.0,352
2020-05-02,Saturday,LOT 5,0.0,0.0,2200
2020-05-02,Saturday,LOT 5 Value,0.0,0.0,0
2020-05-02,Saturday,LOT 6,-100.0,-1.0,-1
2020-05-03,Sunday,LOT 2 General,0.0,0.0,1219
2020-05-03,Sunday,LOT 2 Premium,0.0,0.0,324
2020-05-03,Sunday,LOT 2 Value,0.0,0.0,0
2020-05-03,Sunday,LOT 3,0.0,0.0,1192
2020-05-03,Sunday,LOT 4 General,0.0,0.0,1430
2020-05-03,Sunday,LOT 4 Premium,0.0,0.0,352
2020-05-03,Sunday,LOT 5,0.0,0.0,2200
2020-05-03,Sunday,LOT 5 Value,0.0,0.0,0
2020-05-03,Sunday,LOT 6,-100.0,-1.0,-1
2020-05-04,Monday,LOT 2 General,0.0,0.0,1219
2020-05-04,Monday,LOT 2 Premium,0.0,0.0,324
2020-05-04,Monday,LOT 2 Value,0.0,0.0,0
2020-05-04,Monday,LOT 3,0.0,0.0,1192
2020-05-04,Monday,LOT 4 General,0.0,0.0,1430
2020-05-04,Monday,LOT 4 Premium,0.0,0.0,352
2020-05-04,Monday,LOT 5,0.0,0.0,2200
