Day of the Week,Date,Lot 2 Prem Occ,Lot 2 Prem Cap,Lot 2 Prem%,Lot 2 Gen Occ,Lot 2 Gen Capacity,Lot 2 %,Lot 2 Val Occ,Lot 2 Val Cap,Lot 2 Val%,Lot 3 Occ,Lot 3 Cap,Lot 3%,Lot 4 Prem Occ,Lot 4 Prem Cap,Lot 4 Prem %,Lot 4 Gen Occ,Lot 4 Gen Cap,Lot 4 Gen%,Lot 5 Occ,Lot 5 Cap,Lot 5%,Lot 5 Val Occ,Lot 5 Val Cap,Lot 5 Val%,Lot 6 Occ,Lot 6 Cap,Lot 6%,Total Facility Occ,Total Facility Cap,Total Facility%
Thursday,2025-05-01 00:00:00,282,345,0.8173913043478261,881,1214,0.7257001647446458,2,20,0.1,665,1192,0.5578859060402684,333,350,0.9514285714285714,1316,1430,0.9202797202797203,1034,2296,0.45034843205574915,12,20,0.6,719,1337,0.537771129394166,5242,8184,0.6405180840664711
Friday,2025-05-02 00:00:00,260,345,0.7536231884057971,996,1214,0.8204283360790774,5,20,0.25,711,1192,0.5964765100671141,335,350,0.9571428571428572,1104,1430,0.772027972027972,1165,2296,0.507404181184669,13,20,0.65,739,1337,0.5527299925205684,5323,8184,0.6504154447702835
Saturday,2025-05-03 00:00:00,252,345,0.7304347826086957,1033,1214,0.8509060955518946,4,20,0.2,699,1192,0.5864093959731543,318,350,0.9085714285714286,920,1430,0.6433566433566433,1190,2296,0.5182926829268293,13,20,0.65,719,1337,0.537771129394166,5144,8184,0.6285434995112414
Sunday,2025-05-04 00:00:00,249,345,0.7217391304347827,926,1214,0.7627677100494233,4,20,0.2,661,1192,0.5545302013422819,326,350,0.9314285714285714,837,1430,0.5853146853146853,1112,2296,0.4843205574912892,8,20,0.4,686,1337,0.5130890052356021,4805,8184,0.5871212121212122
Monday,2025-05-05 00:00:00,287,345,0.8318840579710145,821,1214,0.6762767710049423,5,20,0.25,602,1192,0.5050335570469798,333,350,0.9514285714285714,1148,1430,0.8027972027972028,963,2296,0.41942508710801396,10,20,0.5,602,1337,0.450261780104712,4766,8184,0.582355816226784
Tuesday,2025-05-06 00:00:00,286,345,0.8289855072463768,785,1214,0.6466227347611203,5,20,0.25,586,1192,0.49161073825503354,337,350,0.9628571428571429,1401,1430,0.9797202797202798,926,2296,0.40331010452961674,14,20,0.7,632,1337,0.47270007479431564,4967,8184,0.6069159335288368
Wednesday,2025-05-07 00:00:00,306,345,0.8869565217391304,806,1214,0.6639209225700164,2,20,0.1,635,1192,0.5327181208053692,335,350,0.9571428571428572,1408,1430,0.9846153846153847,985,2296,0.429006968641115,18,20,0.9,684,1337,0.5115931189229619,5177,8184,0.6325757575757576
Thursday,2025-05-08 00:00:00,290,345,0.8405797101449275,861,1214,0.7092257001647446,4,20,0.2,664,1192,0.5570469798657718,326,350,0.9314285714285714,1253,1430,0.8762237762237762,1126,2296,0.490418118466899,20,20,1,763,1337,0.5706806282722513,5303,8184,0.64797165200391
Friday,2025-05-09 00:00:00,269,345,0.7797101449275362,913,1214,0.7520593080724877,6,20,0.3,726,1192,0.6090604026845637,320,350,0.9142857142857143,979,1430,0.6846153846153846,1248,2296,0.5435540069686411,25,20,1.25,792,1337,0.5923709798055348,5272,8184,0.6441837732160313
Saturday,2025-05-10 00:00:00,249,345,0.7217391304347827,886,1214,0.729818780889621,6,20,0.3,758,1192,0.6359060402684564,311,350,0.8885714285714286,738,1430,0.5160839160839161,1307,2296,0.5692508710801394,29,20,1.45,819,1337,0.612565445026178,5097,8184,0.6228005865102639
Sunday,2025-05-11 00:00:00,211,345,0.6115942028985507,751,1214,0.6186161449752883,7,20,0.35,708,1192,0.5939597315436241,314,350,0.8971428571428571,582,1430,0.406993006993007,1189,2296,0.5178571428571429,22,20,1.1,866,1337,0.6477187733732236,4643,8184,0.5673264907135875
Monday,2025-05-12 00:00:00,291,345,0.8434782608695652,739,1214,0.6087314662273476,4,20,0.2,648,1192,0.5436241610738255,332,350,0.9485714285714286,1159,1430,0.8104895104895105,973,2296,0.42378048780487804,19,20,0.95,680,1337,0.5086013462976814,4841,8184,0.5915200391006843
Tuesday,2025-05-13 00:00:00,291,345,0.8434782608695652,745,1214,0.613673805601318,5,20,0.25,657,1192,0.5511744966442953,337,350,0.9628571428571429,1404,1430,0.9818181818181818,916,2296,0.3989547038327526,15,20,0.75,657,1337,0.4913986537023186,5022,8184,0.6136363636363636
Wednesday,2025-05-14 00:00:00,291,345,0.8434782608695652,793,1214,0.6532125205930808,8,20,0.4,766,1192,0.6426174496644296,338,350,0.9657142857142857,1398,1430,0.9776223776223776,962,2296,0.4189895470383275,19,20,0.95,686,1337,0.5130890052356021,5253,8184,0.6418621700879765
Thursday,2025-05-15 00:00:00,290,345,0.8405797101449275,849,1214,0.699341021416804,10,20,0.5,827,1192,0.6937919463087249,324,350,0.9257142857142857,1316,1430,0.9202797202797203,1178,2296,0.5130662020905923,25,20,1.25,752,1337,0.56245325355273,5561,8184,0.679496578690127
Friday,2025-05-16 00:00:00,286,345,0.8289855072463768,931,1214,0.7668863261943987,10,20,0.5,905,1192,0.7592281879194631,331,350,0.9457142857142857,1118,1430,0.7818181818181819,1299,2296,0.5657665505226481,24,20,1.2,769,1337,0.575168287210172,5663,8184,0.6919599217986315
