Year,Month,Airline,Passengers
2018,January,Aeromexico,3048
2018,January,Alaska Airlines,25704
2018,January,American Airlines,68271
2018,January,China Airlines,0
2018,January,Delta Air Lines,13904
2018,January,Frontier Airlines,15275
2018,January,Southwest Airlines,207696
2018,January,United Airlines,31385
2018,January,Volaris,9694
2018,January,All Others,0
2018,February,Aeromexico,0
2018,February,Alaska Airlines,26598
2018,February,American Airlines,63970
2018,February,China Airlines,0
2018,February,Delta Air Lines,13604
2018,February,Frontier Airlines,15745
2018,February,Southwest Airlines,197700
2018,February,United Airlines,29201
2018,February,Volaris,7006
2018,February,All Others,59
2018,March,Aeromexico,0
2018,March,Alaska Airlines,36659
2018,March,American Airlines,76087
2018,March,China Airlines,3848
2018,March,Delta Air Lines,14236
2018,March,Frontier Airlines,18396
2018,March,Southwest Airlines,226280
2018,March,United Airlines,32392
2018,March,Volaris,6817
2018,March,All Others,284
2018,April,Aeromexico,0
2018,April,Alaska Airlines,37240
2018,April,American Airlines,65504
2018,April,China Airlines,12229
2018,April,Delta Air Lines,11822
2018,April,Frontier Airlines,15760
2018,April,Southwest Airlines,227578
2018,April,United Airlines,37377
2018,April,Volaris,7173
2018,April,All Others,1637
2018,May,Aeromexico,0
2018,May,Alaska Airlines,34707
2018,May,American Airlines,69732
2018,May,China Airlines,12884
2018,May,Delta Air Lines,12047
2018,May,Frontier Airlines,18571
2018,May,Southwest Airlines,239714
2018,May,United Airlines,41618
2018,May,Volaris,8199
2018,May,All Others,1502
2018,June,Aeromexico,0
2018,June,Alaska Airlines,33666
2018,June,American Airlines,81185
2018,June,China Airlines,15366
2018,June,Delta Air Lines,12046
2018,June,Frontier Airlines,19623
2018,June,Southwest Airlines,230895
2018,June,United Airlines,33645
2018,June,Volaris,8134
2018,June,All Others,1330
2018,July,Aeromexico,0
2018,July,Alaska Airlines,36577
2018,July,American Airlines,85132
2018,July,China Airlines,14917
2018,July,Delta Air Lines,16251
2018,July,Frontier Airlines,19943
2018,July,JetBlue,0
2018,July,Southwest Airlines,227991
2018,July,United Airlines,36701
