Date,Day,Lot,% Capacity,Occupied,Spaces
2025-05-01 00:00:00,Thursday,LOT 2 General,72.57001647446458,881.0,1214
2025-05-01 00:00:00,Thursday,LOT 2 Premium,81.73913043478261,282.0,345
2025-05-01 00:00:00,Thursday,LOT 2 Value,10.0,2.0,20
2025-05-01 00:00:00,Thursday,LOT 3,55.788590604026844,665.0,1192
2025-05-01 00:00:00,Thursday,LOT 4 General,92.02797202797204,1316.0,1430
2025-05-01 00:00:00,Thursday,LOT 4 Premium,95.14285714285714,333.0,350
2025-05-01 00:00:00,Thursday,LOT 5,45.03484320557491,1034.0,2296
2025-05-01 00:00:00,Thursday,LOT 5 Value,60.0,12.0,20
2025-05-01 00:00:00,Thursday,LOT 6,53.777112939416604,719.0,1337
2025-05-02 00:00:00,Friday,LOT 2 General,82.04283360790774,996.0,1214
2025-05-02 00:00:00,Friday,LOT 2 Premium,75.36231884057972,260.0,345
2025-05-02 00:00:00,Friday,LOT 2 Value,25.0,5.0,20
2025-05-02 00:00:00,Friday,LOT 3,59.64765100671141,711.0,1192
2025-05-02 00:00:00,Friday,LOT 4 General,77.2027972027972,1104.0,1430
2025-05-02 00:00:00,Friday,LOT 4 Premium,95.71428571428572,335.0,350
2025-05-02 00:00:00,Friday,LOT 5,50.7404181184669,1165.0,2296
2025-05-02 00:00:00,Friday,LOT 5 Value,65.0,13.0,20
2025-05-02 00:00:00,Friday,LOT 6,55.27299925205684,739.0,1337
2025-05-03 00:00:00,Saturday,LOT 2 General,85.09060955518946,1033.0,1214
2025-05-03 00:00:00,Saturday,LOT 2 Premium,73.04347826086956,252.0,345
2025-05-03 00:00:00,Saturday,LOT 2 Value,20.0,4.0,20
2025-05-03 00:00:00,Saturday,LOT 3,58.64093959731543,699.0,1192
2025-05-03 00:00:00,Saturday,LOT 4 General,64.33566433566433,920.0,1430
2025-05-03 00:00:00,Saturday,LOT 4 Premium,90.85714285714286,318.0,350
2025-05-03 00:00:00,Saturday,LOT 5,51.829268292682926,1190.0,2296
2025-05-03 00:00:00,Saturday,LOT 5 Value,65.0,13.0,20
2025-05-03 00:00:00,Saturday,LOT 6,53.777112939416604,719.0,1337
2025-05-04 00:00:00,Sunday,LOT 2 General,76.27677100494233,926.0,1214
2025-05-04 00:00:00,Sunday,LOT 2 Premium,72.17391304347827,249.0,345
2025-05-04 00:00:00,Sunday,LOT 2 Value,20.0,4.0,20
2025-05-04 00:00:00,Sunday,LOT 3,55.45302013422819,661.0,1192
2025-05-04 00:00:00,Sunday,LOT 4 General,58.53146853146853,837.0,1430
2025-05-04 00:00:00,Sunday,LOT 4 Premium,93.14285714285714,326.0,350
2025-05-04 00:00:00,Sunday,LOT 5,48.43205574912892,1112.0,2296
2025-05-04 00:00:00,Sunday,LOT 5 Value,40.0,8.0,20
2025-05-04 00:00:00,Sunday,LOT 6,51.30890052356021,686.0,1337
2025-05-05 00:00:00,Monday,LOT 2 General,67.62767710049424,821.0,1214
2025-05-05 00:00:00,Monday,LOT 2 Premium,83.18840579710145,287.0,345
2025-05-05 00:00:00,Monday,LOT 2 Value,25.0,5.0,20
2025-05-05 00:00:00,Monday,LOT 3,50.50335570469798,602.0,1192
2025-05-05 00:00:00,Monday,LOT 4 General,80.27972027972028,1148.0,1430
2025-05-05 00:00:00,Monday,LOT 4 Premium,95.14285714285714,333.0,350
2025-05-05 00:00:00,Monday,LOT 5,41.94250871080139,963.0,2296
2025-05-05 00:00:00,Monday,LOT 5 Value,50.0,10.0,20
2025-05-05 00:00:00,Monday,LOT 6,45.0261780104712,602.0,1337
2025-05-06 00:00:00,Tuesday,LOT 2 General,64.66227347611203,785.0,1214
2025-05-06 00:00:00,Tuesday,LOT 2 Premium,82.89855072463767,286.0,345
2025-05-06 00:00:00,Tuesday,LOT 2 Value,25.0,5.0,20
2025-05-06 00:00:00,Tuesday,LOT 3,49.16107382550335,586.0,1192
2025-05-06 00:00:00,Tuesday,LOT 4 General,97.97202797202797,1401.0,1430
2025-05-06 00:00:00,Tuesday,LOT 4 Premium,96.28571428571428,337.0,350
2025-05-06 00:00:00,Tuesday,LOT 5,40.33101045296167,926.0,2296
2025-05-06 00:00:00,Tuesday,LOT 5 Value,70.0,14.0,20
2025-05-06 00:00:00,Tuesday,LOT 6,47.270007479431555,632.0,1337
2025-05-07 00:00:00,Wednesday,LOT 2 General,66.39209225700165,806.0,1214
2025-05-07 00:00:00,Wednesday,LOT 2 Premium,88.69565217391305,306.0,345
2025-05-07 00:00:00,Wednesday,LOT 2 Value,10.0,2.0,20
2025-05-07 00:00:00,Wednesday,LOT 3,53.27181208053692,635.0,1192
2025-05-07 00:00:00,Wednesday,LOT 4 General,98.46153846153848,1408.0,1430
2025-05-07 00:00:00,Wednesday,LOT 4 Premium,95.71428571428572,335.0,350
